Abstinent,0/0,0/1
Acromegaly,0/1,0/0
AlcoholAbuse,0/1,0/0
AlcoholUseQuestionnaire,0/1,0/3
AnnettHandPreferenceQuestionnaire,0/0,0/0
BarrattImpulsivenessQuestionnaire,0/1,0/0
BloodSubstanceMeasurement,0/0,0/0
BodyMass,0/1,0/0
BoneMeasurement,0/1,0/0
BriefPsychiatricRatingScale,0/0,0/0
CannabisAbuse,0/1,0/2
CocaineCravingQuestionnaire_BriefVersion,0/0,0/0
ControlSubject,0/2,0/0
DeathCertificate,0/1,0/0
Depression,0/1,0/0
DiagnosticProcedureonBrain,0/0,0/0
DiffusionWeightedImaging,0/0,0/1
DigitSymbolSubstitutionOfTheWechslerAdultIntelligenceScaleRevised,0/0,0/0
DigitalScale,0/1,0/0
DiseaseDiagnosis,0/1,0/0
DrinkingBinge,0/0,0/1
DrinkingDay,0/1,0/1
DrinkingEpisode,0/0,0/1
DrinkingSession,0/0,0/1
Entity,0/1,0/0
ExtrapyramidalDisease,0/1,0/0
FingerTappingTask,0/0,0/0
FollowupDataCollection,0/0,0/0
FunctionalImagingProtocol,0/0,0/0
FunctionalMagneticResonanceImaging,0/3,0/6
Glucose,0/1,0/0
GoNoGoTask,0/2,0/0
ImpulsiveSensationSeekingScale,0/1,0/0
ImpulsivityScale,2/5,2/7
IntravenousCocaineAbuse,0/1,0/0
Magnetoencephalography,0/0,0/7
MedicationStatus,0/1,0/0
MentalDisorder,0/1,0/0
MentalHealthDiagnosisScale,0/5,0/5
MismatchNegativityTask,0/1,0/0
MolecularImaging,0/1,0/0
MoodDisorder,0/0,0/0
NegativeSymptomScale,0/1,0/0
NeurocognitiveTest,0/3,0/2
NoKnownDisorder,0/4,0/20
NondependentAlcoholAbuse,0/0,0/1
ParallelGroupTrial,0/3,0/0
PositiveSymptomScale,0/1,0/0
PositiveandNegativeSyndromeScale,1/1,1/3
PositronEmissionTomography,0/0,0/1
Questionnaire,1/1,1/1
Reference,0/1,0/0
RestingStateImaging,4/13,4/14
Scale,0/0,0/0
Schizophrenia,2/5,2/15
StatisticalMethod,0/0,0/0
StructuralImaging,0/1,0/4
StructuredClinicalInterviewforDSMDisorders,1/2,1/2
StudyData,0/0,0/0
StudyMethod,1/5,1/5
StudySubject,0/0,0/0
SubstanceCravingScale,0/2,0/2
SubstanceDisorder,0/0,0/13
SubstanceUseScale,0/1,0/1
T1WeightedImaging,3/3,3/4
T2WeightedImaging,0/1,0/1
Thermistor,0/2,0/0
Thing,0/9,0/0
WisconsinSmokingWithdrawalScale,0/0,0/0
