1Level,0/0,0/0
2Level,0/0,0/0
AbnormalInvoluntaryMovementScale,0/1,0/0
Abstinent,0/2,0/1
Activity,0/0,0/0
AddictionSeverityIndex,0/2,0/0
Age,0/1,0/0
AlcoholAbuse,9月12日,9月18日
AlcoholUseDisordersIdentificationTest,1月2日,1月1日
AlcoholUseQuestionnaire,0/1,0/3
AlcoholUseScale,0/1,0/0
Asperger'sDisorder,0/1,0/0
AuditoryOddballTask,0/0,0/0
BackTaskTest,0/0,0/0
BarrattImpulsivenessQuestionnaire,2月4日,2月5日
BeckDepressionInventory,2月3日,2月2日
BipolarTypeSchizoaffectiveDisorder,0/1,0/0
Bipolar_II_Disorder,0/1,0/0
BloodSubstanceMeasurement,0/0,0/0
BoneMeasurement,0/1,0/0
BoneMineralDensity,0/1,0/0
BriefPsychiatricRatingScale,0/0,0/0
CannabisAbuse,2月4日,2月3日
Cholesterol,0/1,0/0
CocaineAbuse,3月5日,3月5日
CocaineCravingQuestionnaire_BriefVersion,0/0,0/0
CognitiveDisorder,0/1,0/0
ComprehensiveAssessmentofSymptomsandHistory,0/0,0/1
Continuous,0/0,0/0
ContinuousNondependentCocaineAbuse,0/1,0/0
ControlSubject,0/1,0/0
ControlledOralWordAssociationTestOfTheMultilingualAphasiaExamination,0/1,0/0
CrossSectionalStudy,0/2,0/0
DateTimeUnit,0/1,0/0
DeathCertificate,0/4,0/0
DevelopmentalNeuropsychologicalAssessment,0/1,0/0
DiffusionWeightedImaging,0/0,0/1
DigitSymbolSubstitutionOfTheWechslerAdultIntelligenceScaleRevised,0/0,0/0
DiseaseDiagnosis,0/3,0/0
DissociativeDrugHarmfulUse,0/2,0/0
DrinkingBinge,0/2,0/1
DrinkingDay,0/0,0/1
DrinkingEpisode,0/0,0/1
DrinkingSession,0/0,0/1
DrugAbuse,0/0,0/0
DualEnergyXRayAbsorptiometry,0/1,0/0
EdinburghHandednessInventoryQuestionnaire,0/0,0/2
ExtrapyramidalDisease,0/3,0/0
FagerstromTestforNicotineDependence,1月1日,1月1日
FamilyHistoryAssessmentModule,0/0,0/1
FetalAlcoholBehaviorScale,0/0,0/0
FingerTappingTask,0/0,0/0
FunctionalImagingProtocol,0/2,0/5
FunctionalMagneticResonanceImaging,11/36,11月29日
HighRisk,0/2,0/0
ImpulsiveSensationSeekingScale,0/0,0/0
ImpulsivityScale,0/4,0/7
MagneticResonanceImaging,3月15日,3月6日
MagneticResonanceImagingInstrument,0/0,0/1
Magnetoencephalography,0/2,0/7
MajorDepressiveDisorder,0/5,0/0
MedicationStatus,0/0,0/1
MentalDisorder,0/1,0/0
MentalHealthDiagnosisScale,1月6日,1月6日
MentalStateAssessmentScale,0/0,0/1
MethamphetamineDependence,4月8日,4月8日
MismatchNegativityTask,0/2,0/0
MolecularImaging,0/2,0/0
Montgomery–AsbergDepressionRatingScale,1月3日,1月1日
MoodDisorder,0/0,0/0
MotorSkillHistory,0/1,0/0
NationalAdultReadingTest,1月2日,1月1日
NegativeSymptomScale,0/0,0/0
NeurocognitiveTest,0/5,0/3
NoKnownDisorder,22/46,22/58
NondependentAlcoholAbuse,0/2,0/3
OpioidAbuse,2月8日,2月10日
Pain,0/1,0/0
ParallelGroupTrial,0/5,0/0
Person,0/1,0/0
PersonalityRatingScale,0/1,0/1
PolysubstanceAbuse,0/1,0/0
PolysubstanceDependence,0/2,0/0
PositiveandNegativeSyndromeScale,4月10日,4月9日
PositronEmissionTomography,1月1日,1月1日
PulseOximetry,0/0,0/0
Pyromania,0/2,0/0
Questionnaire,0/1,0/1
RestingStateImaging,8月20日,8月24日
ScaleforAssessmentofNegativeSymptoms,0/2,0/2
ScaleforAssessmentofPositiveSymptoms,1月1日,1月2日
Schizophrenia,18/47,18/33
SocialStatusQuestionnaire,0/0,0/0
StandardDeviationMeasure,0/0,0/0
SternbergItemRecognitionParadigmTask,0/1,0/0
StructuralImaging,1月4日,1月8日
StructuredAssessmentfortheGeneticsofAlcoholism,0/0,0/0
StructuredClinicalInterviewforDSMDisorders,4月6日,4月5日
StudyMethod,8月11日,8月15日
SubstanceCravingScale,0/2,0/2
SubstanceDisorder,2月14日,2月23日
SubstanceDisorderStatus,0/10,0/0
SubstanceUseScale,1月1日,1月3日
T1WeightedImaging,11月16日,11月12日
T2WeightedImaging,2月7日,2月3日
TaskParadigmImaging,4月14日,4月17日
TaskParadigmImagingProtocol,0/0,0/3
Thing,0/12,0/0
TraitAnxietyInventory,0/0,0/0
Unmedicated,0/4,0/0
WideRangeAchievementTest,0/1,0/0
WisconsinSmokingWithdrawalScale,0/0,0/0
orderedPointingTest,0/0,0/0
